\,A,T,9,8,7,6,5,4,3,2
20,-0.8979,-0.8548,-0.8454,-0.8416,-0.8446,-0.8481,-0.8496,-0.8497,-0.8491,-0.8503
19,-0.8180,-0.7561,-0.7201,-0.7154,-0.7149,-0.7251,-0.7267,-0.7285,-0.7322,-0.7398
18,-0.7579,-0.6882,-0.6273,-0.6023,-0.6044,-0.6172,-0.6274,-0.6357,-0.6356,-0.6381
17,-0.7151,-0.6412,-0.5761,-0.5228,-0.5010,-0.5305,-0.5379,-0.5475,-0.5537,-0.5584
16,-0.6933,-0.6004,-0.5382,-0.4908,-0.4396,-0.4540,-0.4664,-0.4784,-0.4885,-0.5000
15,-0.6736,-0.5711,-0.5019,-0.4417,-0.4014,-0.3847,-0.4064,-0.4232,-0.4366,-0.4475
14,-0.6280,-0.5281,-0.4513,-0.3913,-0.3467,-0.3088,-0.3267,-0.3419,-0.3603,-0.3761
13,-0.5971,-0.4834,-0.3976,-0.3369,-0.2812,-0.2324,-0.2474,-0.2649,-0.2896,-0.3122
12,-0.5618,-0.4313,-0.3468,-0.2782,-0.2184,-0.1529,-0.1777,-0.1933,-0.2211,-0.2457
11,-0.2101,0.0448,0.1751,0.2506,0.3052,0.3743,0.3544,0.3227,0.2927,0.2666
10,-0.2597,-0.0524,0.1298,0.2175,0.2810,0.3300,0.3033,0.2704,0.2367,0.2097
9,-0.3710,-0.2284,-0.0525,0.1067,0.1859,0.2408,0.1999,0.1635,0.1230,0.0923
8,-0.4621,-0.3221,-0.2236,-0.0581,0.0939,0.1537,0.1097,0.0755,0.0319,-0.0102
7,-0.5463,-0.3913,-0.3108,-0.2317,-0.0765,0.0609,0.0308,-0.0110,-0.0538,-0.0967
6,-0.5441,-0.4104,-0.3133,-0.2388,-0.1692,0.0188,-0.0058,-0.0495,-0.0938,-0.1315
5,-0.5260,-0.3898,-0.2872,-0.2122,-0.1398,0.0249,0.0083,-0.0405,-0.0822,-0.1181
4,-0.4987,-0.3571,-0.2554,-0.1669,-0.1037,0.0433,0.0269,-0.0203,-0.0707,-0.1071
A9,-0.2575,-0.0457,0.1296,0.2187,0.2762,0.3268,0.3011,0.2662,0.2375,0.2066
A8,-0.3272,-0.1731,0.0073,0.1588,0.2327,0.2745,0.2337,0.2021,0.1630,0.1417
A7,-0.3936,-0.2310,-0.1240,0.0307,0.1689,0.2159,0.1768,0.1355,0.1022,0.0702
A6,-0.4634,-0.2916,-0.1831,-0.1022,0.0383,0.1400,0.1190,0.0712,0.0290,-0.0040
A5,-0.4585,-0.3027,-0.1840,-0.1074,-0.0297,0.1117,0.0845,0.0430,0.0077,-0.0265
A4,-0.4299,-0.2724,-0.1495,-0.0613,0.0039,0.1228,0.1078,0.0597,0.0179,-0.0133
A3,-0.3961,-0.2294,-0.0961,-0.0040,0.0631,0.1487,0.1306,0.0859,0.0523,0.0171
A2,-0.3660,-0.1872,-0.0521,0.0398,0.1107,0.1788,0.1542,0.1131,0.0799,0.0383
AA,-0.3342,-0.1531,-0.0058,0.0958,0.1711,0.2054,0.1851,0.1401,0.1179,0.0900
